miner	venue	URL
JOS		https://www.uol.com.br/esporte/colunas/pole-position/
JOS		https://www.uol.com.br/universa/colunas/morango/2021/03/24/apaixonada-por-bicho-ela-trocou-carreira-de-professora-pra-ser-baba-de-pet.htm
JOS		https://www.uol.com.br/tilt/colunas/felipe-zmoginski/2021/03/25/huawei-cobrara-us-25-de-cada-dispositivo-com-5g---e-isto-e-pouco.htm
JOS		https://www.uol.com.br/tilt/colunas/felipe-zmoginski/2021/02/24/em-novo-passo-china-libera-criptomoeda-para-uso-por-big-techs.htm
JOS		https://www.uol.com.br/tilt/colunas/alvaro-machado-dias/2021/03/22/quase-tudo-e-muito-ruim-mas-pelo-menos-nos-livramos-do-brainstorming.htm
JOS		https://www.uol.com.br/tilt/colunas/pergunta-pro-jokura/2021/03/29/como-surgiu-a-lei-de-murphy.htm
JOS		https://www.uol.com.br/tilt/colunas/carlos-affonso-de-souza/2021/03/16/plataformas-devem-moderar-live-de-bolsonaro-com-carta-de-suicidio.htm
JOS		https://esportes.r7.com/futebol/fpf-muda-protocolo-de-seguranca-para-tentar-retomar-o-paulistao-29032021
JOS		https://esportes.r7.com/lance/ex-jogadora-acusa-tecnico-brasileiro-de-abuso-sexual-na-adolescencia-ele-se-defende-peguei-um-amor-por-ela-29032021
JOS		https://esportes.r7.com/lance/barty-supera-azarenka-e-vai-as-quartas-em-miami-29032021
JOS		https://esportes.r7.com/lance/renata-fan-elogia-chegada-de-taison-ao-inter-e-analisa-borre-possivel-reforco-do-gremio-29032021
JOS		https://www.lance.com.br/internacional/empresario-confirma-volta-taison-internacional.html
JOS		https://falauniversidades.com.br/michele-morrone-sempre-soube-a-importancia-da-musica-em-sua-vida/
JOS		https://falauniversidades.com.br/detenta-trans-suzy-entrevistada-por-drauzio-varella-matou-crianca/
JOS		https://entretenimento.r7.com/famosos-e-tv/minha-vida-esta-acabando-reflete-lima-duarte-ao-completar-91-anos-29032021
JOS		https://entretenimento.r7.com/famosos-e-tv/filho-de-faustao-surge-mais-magro-em-clique-ao-lado-da-irma-29032021
JOS		https://entretenimento.r7.com/famosos-e-tv/apos-se-render-aos-cachos-kelly-key-acorda-com-os-fios-rebeldes-29032021
JOS		https://tudosobrecabelos.com.br/alem-do-estresse-entenda-outras-causas-para-aumento-de-queda-do-cabelo/
JOS		https://lifestyle.r7.com/beleza/influenciadora-desabafa-sobre-efeitos-colaterais-do-chip-da-beleza-25032021
JOS		https://entretenimento.r7.com/cinema-e-series/nomadland-e-eleito-melhor-filme-pelo-sindicato-dos-produtores-25032021
JOS		https://noticias.r7.com/rio-de-janeiro/mae-contratou-psicologa-para-ajudar-henry-a-aceitar-separacao-29032021
JOS		https://esportes.r7.com/esportes-olimpicos/comeca-o-revezamento-da-tocha-olimpica-dos-jogos-de-toquio-26032021
JOS		https://esportes.r7.com/fora-de-jogo/fotos/ex-nba-personagem-de-space-jam-fica-paraplegico-apos-ser-atropelado-18032021#!/foto/1
JOS		https://recordtv.r7.com/genesis/capitulos/genesis-capitulo-50-2903-tera-oficializa-a-uniao-entre-lo-e-ayla-29032021
JOS		https://recordtv.r7.com/genesis/novidades/genesis-responde/a-invasao-em-ur-pelos-elamitas-realmente-aconteceu-29032021
