Miner	Venue	URLs on racial discrimination
RA00297726	IstoÉ	https://www.istoedinheiro.com.br/defensoria-do-am-notifica-comerciantes-sobre-racismo-no-termo-black-friday/
RA00275004	UOL	https://noticias.uol.com.br/cotidiano/ultimas-noticias/2021/03/03/idosa-e-acusada-de-racismo-por-evitar-enfermeiro-negro-em-vacinacao-em-sp.htm
RA00297726	Agência Brasil	https://agenciabrasil.ebc.com.br/justica/noticia/2020-08/defensoria-prisao-em-flagrante-reforca-racismo-estrutural-no-rio
RA00297746	G1	https://g1.globo.com/ac/acre/noticia/2020/12/07/procedimento-vai-investigar-acoes-de-combate-ao-racismo-por-empresas-privadas-de-vigilancia-do-acre.ghtml
RA00297726	ESPN	https://www.espn.com.br/esports/artigo/_/id/8268560/ea-bane-jogador-de-fifa-por-mensagens-racistas-para-idolo-do-futebol-ingles
RA00275004	GloboEsporte	https://globoesporte.globo.com/futebol/futebol-internacional/noticia/uefa-suspende-arbitro-acusado-de-racismo-em-psg-x-basaksehir-por-comportamento-improprio.ghtml
RA00297746	G1	https://g1.globo.com/sp/sao-paulo/noticia/2020/05/29/fundadora-do-bloco-ilu-oba-de-min-denuncia-caso-de-racismo-em-padaria-no-centro-de-sp.ghtml
RA00297726	G1	https://g1.globo.com/mundo/noticia/2020/06/07/manifestantes-derrubam-estatua-do-traficante-de-escravos-edward-colston-em-bristol-na-inglaterra.ghtml
RA00297726	Folha de São Paulo	https://www1.folha.uol.com.br/esporte/2021/01/conmebol-divulga-nota-de-apoio-a-cavani-suspenso-pela-federacao-inglesa.shtml
RA00297746	G1	https://g1.globo.com/sp/sao-paulo/noticia/secretaria-da-justica-de-sp-investiga-casos-de-racismo-na-fgv-e-instituto-federal.ghtml
Ra00297726	Globoesporte	https://globoesporte.globo.com/futebol/futebol-internacional/futebol-ingles/noticia/cavani-e-acusado-de-ma-conduta-por-usar-termo-racista-em-rede-social.ghtml
RA00297746	G1	http://g1.globo.com/profissao-reporter/noticia/2017/07/vitimas-de-racismo-e-injuria-racial-relatam-casos-de-agressao.html
RA00297746	G1	https://g1.globo.com/mt/mato-grosso/noticia/35-casos-de-racismo-sao-denunciados-a-policia-em-mt-nos-primeiros-4-meses-do-ano.ghtml
RA00297746	G1	https://g1.globo.com/educacao/noticia/campanha-meuprofessorracista-denuncia-casos-de-em-sala-de-aula-na-internet.ghtml
RA00275004	BBC	https://www.bbc.com/portuguese/geral-56164314
RA00275004	GLOBO 	https://oglobo.globo.com/economia/mais-uma-marca-considerada-racista-aposentada-nos-eua-24877191
RA00297746	G1	https://g1.globo.com/mato-grosso/noticia/mt-tem-maior-numero-de-casos-de-racismo-contra-indios-do-pais-aponta-relatorio.ghtml
RA00297746	G1	https://g1.globo.com/rs/rio-grande-do-sul/noticia/ufsm-aprova-novo-codigo-de-conduta-apos-casos-de-estupro-e-racismo.ghtml
RA00275004	G1	https://g1.globo.com/sp/sao-paulo/noticia/2021/02/10/era-um-ataque-racista-diz-coronel-da-pm-chamado-de-macaco-em-palestra-virtual-da-usp-oficial-foi-fazer-bo-do-caso.ghtml
RA00297726	G1	https://g1.globo.com/mundo/noticia/2020/06/08/manifestantes-picham-a-frase-era-racista-em-estatua-de-churchill-em-londres.ghtml
